accuracy_train accuracy_val num_layers learning_rate epochs batch_size params
0.87 0.8575 12 0.0497 10 16 0.435995,-1.553927,0.549662,0.515519,2.402118,0.568481;1.290602,-0.159713,0.299655,0.417117,-0.557156,0.895035;1.037417,1.205167,0.184440,1.089078,-0.016038,-0.525865;1.074640,0.490120,0.505246,-0.460232,1.532463,-0.348312;-1.680518,2.126863,0.226012,-0.197413,-0.047613,-0.030135;-1.424911,0.994252,0.640407,-0.239703,0.302082,0.115029;-0.313200,0.419193,0.162299,0.337003,0.267186,-0.159235;-0.029274,1.631468,0.567144,-0.177681,1.649297,-0.767601;-1.080218,1.534475,0.544208,-1.374734,1.973851,-0.400550;-0.753286,0.031927,0.247177,-1.020623,1.578304,0.906635;0.622395,0.392536,0.764960,0.123975,-0.945027,0.685816;-0.064721,-1.389261,0.983153,0.568076,2.123890,0.323541
0.565 0.495 8 0.0147 10 32 0.435995,-0.220111,0.549662,0.471980,0.543546,0.336937;-0.008336,0.366695,0.299655,0.251499,0.677498,0.547929;-0.129042,0.259635,0.184440,0.785102,0.582973,0.606869;0.450921,-0.044256,0.505246,0.169541,0.347801,0.186566;-0.174603,0.512453,0.226012,0.199640,0.151560,0.508136;0.177374,0.225659,0.640407,0.650717,0.460333,0.359002;0.416174,0.582694,0.162299,0.725124,1.020596,0.506548;0.555999,-0.025697,0.567144,0.445688,0.395946,0.776559
0.555 0.505 7 0.0663 10 16 0.435995,0.917853,0.549662,-0.602939,0.089215,1.350917;0.946850,0.478838,0.299655,1.354438,-0.193646,1.834149;0.043021,-0.603576,0.184440,2.087504,1.645204,-0.186367;0.744659,0.799984,0.505246,-0.609938,1.537250,-0.558250;0.484563,1.146847,0.226012,-0.939474,1.048832,0.584084;0.149631,-0.216480,0.640407,1.155919,-0.777273,1.473699;0.562877,-0.032008,0.162299,1.769798,0.137075,0.500008
0.485 0.48 9 0.0047 10 64 0.435995,-0.057525,0.549662,0.465226,0.522572,0.307666;0.085437,0.590077,0.299655,0.246238,0.686773,0.530719;0.002410,0.496418,0.184440,0.778513,0.766258,0.603381;0.862724,0.166522,0.505246,0.158544,0.361585,0.166025;0.170975,0.693075,0.226012,0.160218,0.158503,0.398663;0.493526,0.321976,0.640407,0.532102,0.503587,0.373814;0.660855,0.577651,0.162299,0.822576,1.016733,0.528270;0.907312,0.244455,0.567144,0.447753,0.442333,0.849138;0.571934,0.989562,0.544208,0.084773,0.282421,0.850851
0.6 0.5675 7 0.0053 10 64 0.435995,-0.043780,0.549662,0.416551,0.525198,0.293682;0.125732,0.566932,0.299655,0.216787,0.697362,0.514834;0.045337,0.426616,0.184440,0.757309,0.812913,0.600246;0.804996,0.200356,0.505246,0.169985,0.358516,0.202013;0.109824,0.735486,0.226012,0.219466,0.148790,0.466052;0.439594,0.320734,0.640407,0.602681,0.469039,0.380169;0.669316,0.627882,0.162299,0.723734,1.018609,0.500008
0.56 0.545 9 0.0177 10 32 0.435995,-0.005886,0.549662,0.735823,0.649381,0.307459;-0.154519,0.764453,0.299655,0.240402,0.733063,0.604302;-0.238960,0.693197,0.184440,0.915810,0.598582,0.761680;0.849799,0.179778,0.505246,0.322371,0.328284,0.243345;0.153965,0.742800,0.226012,0.192715,0.128552,0.412775;0.356334,0.543076,0.640407,0.529876,0.625287,0.225241;0.414026,0.733243,0.162299,0.813933,1.022535,0.617714;0.805984,0.190385,0.567144,0.543621,0.421322,0.972352;0.427258,0.864158,0.544208,0.145977,0.364793,0.850851
0.54 0.52 14 0.0075 10 64 0.435995,0.088582,0.549662,0.488336,0.406365,0.317294;0.077774,0.642781,0.299655,0.276397,0.613689,0.519860;0.143532,0.457523,0.184440,0.778715,0.890160,0.478268;0.874014,0.122090,0.505246,0.051316,0.492954,0.055849;0.150856,0.639953,0.226012,0.073147,0.285398,0.314369;0.475000,0.276751,0.640407,0.456048,0.574852,0.376205;0.794506,0.458567,0.162299,0.732464,0.952894,0.543842;0.975669,0.232837,0.567144,0.442831,0.477791,0.764321;0.537788,1.040890,0.544208,0.010855,0.479287,0.852604;0.349446,0.161307,0.247177,0.071553,0.931930,1.044131;0.856662,0.743175,0.764960,0.264334,0.184943,0.649738;0.390137,0.077449,0.983153,0.568753,0.548941,0.309110;0.258329,0.310088,0.832017,0.737002,0.462058,-0.031547;0.738987,0.153998,0.582685,-0.022605,0.736198,0.387523
0.485 0.4825 9 0.0889 10 16 0.435995,0.744243,0.549662,0.072786,6.299039,2.062553;0.035919,1.081624,0.299655,2.433182,-1.809145,2.734783;0.002620,-2.176623,0.184440,2.237352,2.528961,4.308959;-0.724236,-1.492483,0.505246,3.627641,0.312374,4.532853;1.012926,-3.071648,0.226012,4.939295,-0.234834,3.982595;0.489339,-0.416458,0.640407,3.661409,-1.464751,2.449149;-0.722292,0.363049,0.162299,3.432594,4.464994,-2.701197;-1.075999,0.442027,0.567144,-2.790109,-3.187690,2.115343;-1.216417,-0.040042,0.544208,1.337497,-1.198761,0.850851
0.535 0.505 15 0.0135 10 64 0.435995,-0.051102,0.549662,0.467109,0.409341,0.495980;0.045053,0.572218,0.299655,0.433403,0.501180,0.698198;-0.051833,0.529308,0.184440,0.955383,0.715937,0.520599;0.771123,0.024584,0.505246,0.095013,0.402543,-0.008296;0.037557,0.537463,0.226012,0.065902,0.228429,0.251585;0.355931,0.130877,0.640407,0.407781,0.650219,0.283023;0.669190,0.641320,0.162299,0.644067,1.033514,0.502421;0.860036,0.270621,0.567144,0.441697,0.382017,0.755388;0.509212,0.789318,0.544208,-0.038460,0.411579,0.623957;0.467633,0.008275,0.247177,-0.159502,1.163981,0.973914;0.831199,0.716746,0.764960,0.174906,0.249695,0.551458;0.189621,0.174589,0.983153,0.470251,0.414820,0.417618;0.150597,0.404921,0.832017,0.863001,0.379140,0.026580;0.575625,0.118104,0.582685,0.059423,0.691047,0.363585;0.235789,0.238705,0.350872,0.529235,1.005669,0.112776
0.735 0.71 12 0.0398 10 16 0.435995,0.063080,0.549662,0.300084,0.548347,0.073749;0.294519,0.861057,0.299655,-0.035340,0.690536,0.504911;-0.153731,1.654600,0.184440,0.514608,0.757771,0.380066;0.236352,0.325533,0.505246,0.065873,0.731645,0.053143;-0.651007,0.787375,0.226012,0.215442,0.591671,0.299184;-0.269592,0.059159,0.640407,0.443777,1.132035,0.126331;0.378063,0.032207,0.162299,0.405559,1.017849,0.526878;1.115705,1.217860,0.567144,0.102452,0.580309,0.236340;0.338644,1.852257,0.544208,-0.001412,0.721398,1.183055;-0.238608,0.184486,0.247177,0.479207,0.576555,1.369548;0.584882,-0.171867,0.764960,0.603057,0.086014,0.853042;0.142004,-0.167189,0.983153,0.794813,0.720227,0.323541
